S&P500,NASDAQ,Ibovespa,DAX30
3931.330078125,13965.490234375,,13909.26953125
3913.969970703125,13865.3603515625,119140.0,13886.9296875
3906.7099609375,13874.4599609375,118748.0,13993.23046875
3876.5,13533.0498046875,112668.0,13950.0400390625
3881.3701171875,13465.2001953125,115227.0,13864.8095703125
3925.429931640625,13597.9697265625,115668.0,13976.0
3829.340087890625,13119.4296875,112256.0,13879.330078125
3811.14990234375,13192.349609375,110035.0,13786.2900390625
3901.820068359375,13588.830078125,110335.0,14012.8203125
3870.2900390625,13358.7900390625,111540.0,14039.7998046875
3819.719970703125,12997.75,111184.0,14080.0302734375
3768.469970703125,12723.4697265625,112690.0,14056.33984375
3841.93994140625,12920.150390625,115202.0,13920.6904296875
3821.35009765625,12609.16015625,110612.0,14380.91015625
3875.43994140625,13073.8203125,111331.0,14437.9404296875
3898.81005859375,13068.830078125,112776.0,14540.25
3939.340087890625,13398.669921875,114984.0,14569.3896484375
3943.340087890625,13319.8603515625,114160.0,14502.3896484375
3968.93994140625,13459.7099609375,114851.0,14461.419921875
3962.7099609375,13471.5703125,114019.0,14557.580078125
3974.1201171875,13525.2001953125,116549.0,14596.6103515625
3915.4599609375,13116.169921875,114835.0,14775.51953125
3913.10009765625,13215.240234375,116222.0,14621.0
3940.590087890625,13377.5400390625,114979.0,14657.2099609375
3910.52001953125,13227.7001953125,113262.0,14662.01953125
3889.139892578125,12961.8896484375,112064.0,14610.3896484375
3909.52001953125,12977.6796875,113750.0,14621.3603515625
3974.5400390625,13138.73046875,114781.0,14748.9404296875
