btc,nano,bnb,waves,eos
57408.57,6.83,295.2597,12.3564,5.1008
54087.67,6.3581,267.5147,10.615,4.6877
48891.0,5.1679,231.3646,9.3749,3.8521
49676.2,5.7842,254.5056,9.8336,3.8892
47073.73,5.2083,234.9146,9.6074,3.6711
46276.87,5.1532,221.717,9.5612,3.5477
46106.43,5.136,225.3853,9.5955,3.6715
45135.66,4.9498,210.2138,8.9026,3.4765
49587.03,5.3161,254.9637,9.5234,3.7049
48440.65,5.0782,239.6841,9.4175,3.671
50349.37,5.4039,240.5701,9.8182,3.8258
48374.09,5.1283,229.6369,9.4472,3.7483
48751.71,5.1502,225.4714,9.9125,3.6904
48882.2,5.116,226.3814,9.9916,3.7207
50971.75,5.18,240.11,10.1471,3.831
52375.17,5.7501,240.5509,10.0798,3.8981
54884.5,5.9099,293.2052,10.7134,4.1673
55851.59,5.643,278.4499,10.2479,3.991
57773.16,5.5,290.0301,10.0584,3.9532
57221.72,5.0785,263.2201,9.873,3.7828
61188.39,5.3436,276.2822,10.153,4.2816
58968.31,5.0536,263.238,9.7388,3.9256
55605.2,4.9363,254.5144,9.5842,3.8169
56900.75,4.9775,258.5352,9.8411,4.0661
58912.97,5.2072,269.7896,10.1243,4.0867
57648.16,5.0336,261.4816,10.2454,4.1434
58030.01,5.088,262.935,10.2076,4.1375
58102.28,5.0699,264.3023,10.1674,4.3278
57351.56,5.0057,264.6513,9.95,4.1536
54083.25,4.7621,254.7976,9.7854,4.0777
54340.89,4.8537,255.4646,11.1934,4.0899
52303.65,4.5016,248.5236,10.836,3.6938
51293.78,4.1405,233.9466,10.4376,3.6745
55025.59,4.4502,255.2105,12.2797,4.1849
54836.0,4.4932,251.5334,12.1087,4.1171
